;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxy
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
a 工
lyc 辙
mad 贼
mah 岈
mai 岽
map 崂
mar 岖
maw 典
mby 岌
mcg 峄
mck 贻
mde 贿
mdh 酆
mdj 崦
mdl 盎
mdm 颛
mdo 炭
mdq 鸯
mds 崎
med 髓
mee 崩
mej 髁
mel 髑
meo 髅
mep 髂
meq 鹘
mer 髀
met 骼
mew 骰
mey 骸
mfc 岐
mff 峙
mfh 巅
mfk 周
mfn 赎
mfq 嵌
mft 赌
mga 贱
mge 豳
mgi 赇
mgn 屿
mgu 峡
mhb 帔
mhd 帱
mhf 帏
mhg 幅
mhh 帧
mhj 帽
mhl 帼
mho 幞
mhr 帕
mht 帐
mhu 幢
mhw 帆
miw 嵴
mjq 赐
mjv 岿
mkq 贶
mld 崮
mln 崽
mmm 山
mmq 岘
mmr 岗
mmt 罂
mmv 婴
mna 岷
mnb 崛
mnh 嵋
mnj 剀
mnm 觊
mnw 凯
mny 赆
moo 赕
moq 嶙
mov 嵝
mpf 崇
mpg 贮
mpw 崆
mqc 购
mqd 赡
mqj 峋
mqk 岣
mqt 峁
mqv 峥
mrc 贩
mrd 崤
mrj 刚
mrq 嵬
mrr 网
msk 岢
msv 崾
msw 崧
mta 账
mtd 峰
mtk 赂
mtn 屹
mtp 贬
mtr 峨
mtu 嵊
mtv 巍
mua 嵯
muj 嶂
muk 赔
muv 赚
mux 嵫
muy 罔
mwf 赊
mwg 嵛
mwr 岚
mww 肉
mwy 崔
mxt 嶷
myb 崞
mye 彤
mym 嵩
myn 赅
nae 展
nag 惬
nal 懵
nan 屉
nar 怄
nat 懂
naw 殿
nay 慌
nbb 孱
nbc 慑
nbm 屈
nbs 屙
nbt 憨
ncd 惨
ncg 怿
nck 怡
ncw 悛
nda 惰
ndd 恹
ndh 怀
ndj 剧
ndm 怖
ndn 忧
ndo 恢
nfa 愤
nfc 层
nfd 懦
nff 恃
nfh 慎
nfi 慰
nfp 迅
nfq 怃
nft 屠
nfu 悻
ngc 屋
nge 情
ngh 怔
ngj 恒
ngk 司
ngu 怦
ngx 愫
nhe 胥
nhf 遐
nhg 丑
nhj 蛋
nhq 鹛
nhw 惧
nhy 疏
nie 悄
nig 恍
nim 惝
nit 犀
njc 悭
njf 悍
njg 怛
njl 愠
njq 惕
njt 惺
njy 憬
nkc 悒
nkh 忡
nkk 愕
nku 臂
nla 翼
nls 悃
nly 愣
nmd 惴
nmf 惆
nmg 恫
nmh 刷
nmj 恻
nmn 恺
nmu 惘
nna 巽
nnd 毋
nng 己
nnh 书
nnk 局
nnl 乙
nnw 快
nnx 怩
nny 羽
noh 惦
nov 慵
npl 恽
npq 惋
nqj 恂
nqr 惚
nrg 惶
nrq 愧
nsk 悚
nss 憷
nsy 怵
nta 怅
ntb 悸
ntd 恬
ntf 忏
ntg 性
nth 怍
ntj 虱
ntk 属
ntl 恤
ntm 懊
nto 屦
ntt 履
ntx 悔
nua 屏
nud 买
nuj 惮
nuk 悦
nul 憎
nuu 羼
nuv 慊
nux 悌
nuy 悯
nva 慨
nvk 怊
nwb 怆
nwc 忪
nwe 戮
nwg 愉
nwy 惟
nxj 怫
nxm 惯
nxx 屁
nyh 忭
nyj 昼
nyk 咫
nyl 懔
nyn 忙
nyp 迟
nyr 恼
nyu 尽
nyw 翠
oac 度
oak 廑
oan 炬
oao 庶
oat 烧
oaw 粪
obx 鬯
oca 烃
ocd 糁
ode 糊
odj 庵
odm 烦
odu 燎
odx 庞
oel 爝
oew 庾
ofc 庋
ofd 糯
ofn 炜
ofq 庑
ofs 煤
oft 烤
ogb 炖
ogj 粳
ogk 焐
ogm 炳
ogq 廒
ohj 焯
ohk 店
oid 黻
ois 黼
oit 炒
oja 爆
ojf 焊
ojl 熳
oju 煜
okw 炽
old 烟
olg 煨
omk 炯
onh 糈
onr 熠
ont 废
onw 炔
ony 烬
oob 郯
ooj 剡
ooo 火
oov 糖
opf 烷
opg 煊
opw 熔
oqd 燃
oqe 焰
oqg 粼
oqm 焕
oqn 炮
oqw 炊
oqy 灼
ord 烯
org 煌
ort 庳
oss 麻
otd 烽
otf 糙
oth 炸
otk 烙
otm 燠
otn 烁
oto 燔
otu 烀
oud 烂
oue 燧
ouf 料
oug 糕
oun 焖
ouv 廉
oux 糍
ove 庸
ovh 唐
ovi 康
ovp 煺
ovw 庚
owb 炝
owf 烩
own 糇
ows 庥
owv 粉
oww 座
owx 烨
owy 焓
oxk 糨
oxx 庇
oyb 廓
oyg 炷
oyl 廪
oyn 炉
oyt 米
oyu 熵
oyv 粮
oyw 炕
oyx 炫
oyy 灬
pah 宦
paj 寞
pam 宽
paw 寒
pdc 宏
pde 寡
pdh 豁
pds 寄
pdu 寮
pdx 宠
peg 宜
pfi 宗
pfq 完
pgc 室
pge 冢
pgf 宇
pgh 定
pgj 宣
pgk 富
pgm 寅
pgn 写
pgy 宝
pjd 幂
pjm 寓
pju 冥
pjv 宴
plb 郓
plg 寰
pne 甯
pnp 逭
pnt 密
pnw 寥
pqb 剜
pqk 冤
pqq 鸩
pta 宅
ptf 宪
ptg 牢
ptk 额
pua 褡
pub 被
puc 裰
pud 褥
pue 衫
puf 褚
pug 袜
puh 补
pui 裆
puk 裎
pul 裢
pum 袖
pun 裾
puo 裤
puq 袍
pur 裨
pus 襟
put 袄
puu 褙
puv 初
puw 裕
pux 襁
puy 褊
pvs 案
pwa 窍
pwd 突
pwe 穷
pwf 罕
pwg 窥
pwj 窠
pwk 窝
pwm 帘
pwn 窟
pwo 窭
pwq 窕
pwr 窳
pwt 窗
pwv 究
pww 容
pwx 穹
pwy 鹤
pyb 祁
pyd 祷
pye 祖
pyf 祛
pyg 福
pyh 祉
pyj 神
pyk 祝
pym 视
pyq 祧
pyr 祈
pyt 祚
pyu 祥
pyv 禄
pyy 禳
qad 锘
qah 铘
qaj 错
qak 钷
qal 锚
qan 钜
qap 铹
qat 铙
qaw 镬
qay 邸
qbc 镊
qbl 锰
qbn 怨
qbq 鸳
qbs 锕
qcg 铎
qcy 钗
qdb 危
qdc 钹
qde 铕
qdf 锛
qdh 锲
qdm 钸
qdn 铖
qdt 铸
qdu 镣
qdw 詹
qdy 钛
qef 锊
qeh 锼
qei 觥
qej 触
qen 觖
qer 觚
qes 觫
qeu 斛
qev 解
qfh 镇
qfl 镭
qft 锗
qga 鹱
qgb 印
qgc 鳋
qge 鳐
qgg 鲭
qgj 鲁
qgk 镉
qgl 鳃
qgm 鲷
qgn 鲺
qgo 鳞
qgp 鸵
qgq 鲍
qgr 鳇
qgs 鳔
qgt 鲧
qgu 鲜
qgv 鲫
qgw 鲋
qgy 鲸
qhk 钻
qie 销
qif 鼗
qig 玺
qim 锁
qin 铴
qip 逃
qit 钞
qiv 铛
qjb 郇
qjc 铿
qjf 锂
qjg 锝
qjl 镘
qjn 龟
qjq 锡
qjs 锞
qjx 锟
qke 象
qkg 锃
qkk 铝
qkm 锅
qkq 免
qld 锢
qln 锶
qlp 链
qlq 锣
qlx 镙
qmd 奂
qmj 铡
qmn 铠
qmr 钢
qmw 钠
qna 饶
qnc 饴
qnd 锯
qne 馁
qnf 饽
qng 饯
qnh 钮
qnj 蚀
qnk 馈
qnp 馆
qnq 饮
qnr 饭
qns 馇
qnt 饰
qnu 饼
qnw 饥
qnx 铌
qoa 镀
qoo 锬
qou 镤
qov 镂
qox 镳
qpg 镓
qpr 镔
qpv 铵
qpw 镩
qpx 铊
qqc 钩
qqg 镥
qqi 铫
qqk 铭
qqq 金
qqr 锪
qqt 铆
qqu 钧
qqv 铮
qqw 钦
qqy 钓
qrb 匈
qrc 钣
qrj 刎
qrm 锦
qrn 忽
qrq 锨
qrs 铩
qry 匆
qsf 镖
qsg 钵
qsj 镡
qsk 钶
qta 猫
qtb 犯
qtc 犸
qtd 锋
qte 狙
qtf 猿
qtg 铁
qth 锻
qtj 独
qtk 铬
qtl 猥
qtm 狈
qto 狄
qtp 狞
qtq 狗
qtr 狐
qts 獭
qtt 猁
qtu 狡
qtv 狠
qtw 猴
qtx 狴
qty 狱
quf 钭
qug 镁
quj 镜
quk 锐
quo 镨
quq 锵
qur 铰
qus 镧
qut 铲
quw 镒
qux 锑
qvb 邹
qvk 铷
qvl 锱
qvn 急
qvp 锓
qvt 煞
qvw 雏
qwg 铨
qwk 铅
qww 锉
qwx 铧
qwy 锥
qxj 镄
qxk 镪
qyb 镦
qyc 锍
qye 铱
qyk 镶
qym 镐
qyo 灸
qyu 镑
qyv 贸
qyw 钪
qyx 铉
raa 拭
rae 撒
raj 措
ral 描
ran 拒
rap 捞
rar 抠
rat 挠
raw 拱
rbb 揶
rbc 摄
rbi 拯
rbm 拙
rca 氢
rcc 掇
rcd 掺
rce 捅
rcg 择
rck 抬
rcp 返
rct 挨
rcw 摊
rcy 瓜
rdb 扼
rdc 拔
rde 肴
rdf 挎
rdg 撼
rdj 掩
rdm 希
rdn 扰
rdp 挞
rdq 氪
rds 掎
rdu 撩
rdw 捧
rdx 拢
ree 撬
ref 捋
reg 援
reh 搜
rep 授
ret 摇
rfc 技
rff 持
rfh 盾
rfj 擀
rfk 拮
rfl 擂
rfn 抟
rfp 挝
rfq 抚
rft 拷
rfw 攉
rgb 卮
rgd 掭
rge 氰
rgg 撵
rgh 扌
rgk 攮
rgo 氩
rgp 遑
rgs 抹
rgu 挟
rgv 捷
rhd 排
rhe 掳
rhh 攫
rhj 掉
rhk 拈
rhn 摅
rie 捎
rip 撑
rit 抄
riv 挡
rjb 撮
rjf 捏
rjg 担
rjl 氲
rjn 拽
rjq 揭
rjt 揽
rkb 揖
rkc 挹
rke 捐
rkh 捉
rkm 损
rld 氤
rlf 摆
rlg 擐
rls 捆
rlt 撂
rlx 摞
rmd 揣
rmh 帛
rmm 撄
rmn 皑
rmw 摧
rna 抿
rnb 掘
rnd 据
rng 握
rnh 扭
rnk 擗
rnr 扬
rnt 拨
rnu 摒
rnw 抉
rny 拟
roa 摭
roh 掂
roo 氮
rov 搂
rpf 皖
rpg 揎
rpl 挥
rpr 摈
rps 拧
rpv 按
rpw 控
rqa 抵
rqb 抑
rqc 鬼
rqe 掐
rqg 撸
rqi 挑
rqk 拘
rqm 捣
rqn 抱
rqo 掬
rqq 揿
rqt 掏
rqv 挣
rqw 欣
rrc 扳
rrh 搋
rrj 蜇
rrk 哲
rrp 逝
rrq 掀
rrr 白
rrt 捭
rry 拆
rsa 弑
rsf 搏
rsj 刹
rta 托
rtb 拖
rtd 括
rtf 卑
rtg 气
rth 丘
rto 播
rtt 斤
rtu 搬
rua 拼
rub 搠
rud 拦
ruf 抖
rug 拌
ruj 撞
rur 皎
rus 撙
rut 搁
ruv 接
rve 抛
rvi 氯
rvk 招
rvn 殷
rvq 拶
rvt 捃
rvy 执
rwb 抢
rwc 投
rwf 拊
rwg 捡
rwv 氛
rww 挫
rwx 抡
rxe 拗
rxj 拂
rxm 掼
rxu 搦
rxx 批
ryc 撤
ryg 拄
ryj 挤
ryk 攘
ryl 擅
ryn 护
ryt 邀
ryw 抗
ryx 摔
saa 械
sab 栉
sah 榧
sai 栋
sak 槿
sam 横
san 柜
sap 檬
saq 柩
sar 枢
sat 桡
sbb 椰
sbc 楹
sbd 椭
sby 极
sce 桶
scf 树
scg 杩
scw 梭
scy 杈
sde 枥
sdh 杯
sds 椅
sdt 梆
sdu 橛
sdw 棋
sdx 栊
sdy 杖
seb 桴
see 棚
sek 枷
sfb 鄄
sfc 枝
sff 桂
sfi 标
sfk 桔
sfl 檑
sfm 楠
sfn 椟
sft 材
sfu 樯
sfw 棱
sga 栈
sgb 酏
sgc 酸
sge 酹
sgf 酣
sgj 醒
sgk 梧
sgm 槽
sgn 配
sgo 醚
sgp 酡
sgq 酌
sgr 酗
sgs 酊
sgt 酷
sgu 枰
sgw 酚
sgx 酯
sgy 酬
shi 椒
shj 棹
shm 桢
shn 想
sie 梢
sig 榉
sii 桫
sip 樘
sit 杪
sjn 榻
sjs 棵
sjt 槛
sjx 棍
skb 楫
skg 枵
skj 剌
skk 榀
skp 速
skq 赖
sks 歌
skt 整
skw 枳
slq 椤
sly 楞
smj 刺
smm 樱
smn 桤
smq 枧
sms 棘
smu 枣
smw 枘
snb 橄
snd 椐
snh 楣
sni 榍
snr 杨
sof 桩
sov 楼
spf 棕
spg 楦
spn 棺
spr 槟
sps 柠
spv 桉
spw 榨
spx 柁
sqa 柢
sqd 桅
sqe 槲
sqg 橹
sqi 桃
sqk 橡
sqt 柳
sqy 榴
src 板
srd 槔
srm 棉
srq 槐
srr 攀
sry 檄
ssb 郴
sse 彬
ssf 禁
ssj 楂
ssk 柯
ssl 楝
ssn 楚
sso 焚
ssq 梦
sss 森
ssv 婪
ssw 棼
sta 枨
std 桥
stf 株
stg 棰
sth 柞
stk 格
stm 榭
stn 栎
sto 楸
stt 覆
stx 梅
sua 槎
sud 栏
suj 樟
suk 榈
sur 校
sus 樽
sux 梯
sva 概
svg 楗
svi 棣
svo 棂
swb 枪
swc 松
swf 桧
swg 检
swr 枫
sww 麴
swx 桦
swy 椎
sxe 椽
sxx 橼
syb 椁
syc 梳
syf 槠
syg 柱
syi 椋
syk 榱
syl 檀
sym 柿
syn 核
syp 述
syu 榜
syv 榔
syw 杭
tab 筇
tad 箬
tag 筐
tah 篚
tam 簧
taq 簪
taw 筑
tbp 透
tca 径
tcg 笃
tck 笞
tda 矩
tdf 甜
tdg 短
tdh 逢
tdj 乔
tdk 智
tdm 岙
tdn 乱
tdp 适
tdq 舐
tdt 敌
tdw 箕
tdx 笼
tee 稻
teg 租
tek 笳
tep 笾
tet 徭
tfb 缺
tfc 丢
tfe 歃
tfl 德
tfp 迁
tfq 先
tfs 籍
tft 箸
tfu 乖
tga 笺
tge 箐
tgf 竽
tgh 征
tgj 重
tgl 舞
tgm 制
tgp 迭
tgs 行
tgu 秤
tha 算
thf 乍
thg 片
thh 衢
thj 昝
thk 咎
thl 鼻
thn 息
ths 臬
tht 竹
tie 稍
tig 衍
tim 徜
tir 箔
tis 簿
tjg 笪
tjs 梨
tjt 复
tkg 程
tkh 种
tkk 稆
tkm 禹
tkw 积
tla 篾
tlf 睾
tlg 箅
tlk 徊
tln 惫
tlo 粤
tlq 囱
tlr 囟
tlu 衅
tlw 稷
tmd 射
tmg 微
tmh 币
tmk 向
tmo 奥
tmq 秽
tnf 阜
tng 笥
tnn 乌
tnp 追
tnt 秘
toc 释
tol 番
tom 釉
ton 悉
tov 篓
tox 簏
tpg 稼
tpn 管
tpq 箢
tpw 箜
tqd 衡
tqg 衔
tqi 称
tqj 徇
tqk 笱
tqq 移
tqr 笏
tqt 黎
tqv 筝
tra 箍
trc 筢
trf 循
trg 篁
trh 篪
tri 穆
trk 筘
trn 鹅
trq 籀
trt 稗
try 徼
tsg 笨
tsh 箱
tsj 簟
tsk 籁
tsm 策
tss 篥
tsy 秫
ttd 笑
ttf 筅
ttg 御
tth 笮
ttl 丿
ttn 秭
ttt 禾
tua 艨
tub 艋
tue 箭
tug 艚
tuj 简
tuk 税
tul 盘
tum 舰
tun 艉
tup 舵
tur 舶
tus 舾
tut 艇
tuu 艟
tuw 船
tux 乘
tuy 航
tvg 律
tvh 箫
tvk 笤
tvl 簋
tvp 逶
tvr 魏
tvt 笋
twa 筏
twc 役
twd 颓
twf 符
twg 徐
twh 筱
twi 黍
twn 篌
twy 稚
txe 篆
txh 第
txi 系
txt 敏
txx 筚
txy 毓
tyg 往
tyi 汆
tyk 穰
tym 稿
tyn 篇
tyo 籴
tyr 篱
tyv 稂
uag 疟
uai 冻
uaj 瘼
uak 阈
uam 癀
uap 迸
uaw 瘩
ubq 瘾
ubt 塑
uca 痉
uce 衮
ucg 冯
uck 冶
ucq 兖
ucw 竣
ucy 瘙
udb 郑
udc 闳
ude 疬
udg 减
udh 痞
udj 阉
udn 疣
udp 送
udw 凑
ueg 疽
ueh 瘦
uej 翦
uep 遂
ueq 阋
uew 毅
ufc 阖
uff 闺
ufh 癫
ufn 闱
uft 闭
ufw 凌
ufy 装
ugb 卷
uge 靖
ugg 豢
ugh 症
ugj 养
ugk 痦
ugl 盖
ugm 病
ugn 恙
ugo 羹
ugq 疠
ugr 拳
ugs 桊
ugt 羲
ugu 羡
ugv 券
ugx 冱
ugy 誊
uhd 痱
uhh 癯
uhx 疵
uii 痧
uit 阔
uiw 瘠
ujb 鄣
uje 彰
ujg 疸
ujl 瘟
ujn 意
ujq 竟
ujt 赣
ujv 韶
ukb 部
ukg 瓿
ukh 冲
ukj 剖
ukk 癌
ukn 总
ukq 竞
uld 痼
ulg 兽
ulj 曾
uls 阃
ulx 瘰
umd 羰
umf 凋
umm 瘿
una 癜
unb 阚
unh 羞
unk 癖
unr 疡
unw 决
uoo 痰
uov 瘘
uqa 阍
uqd 奖
uqe 阎
uqf 将
uqg 癣
uqi 浆
uqj 阄
uqm 痪
uqn 疱
uqs 桨
uqv 净
uqw 咨
uqy 疚
urb 郊
urc 瓣
urt 效
usf 瘭
usg 尊
usl 阑
usq 鹇
usr 新
usw 凇
utd 疾
ute 颜
utf 冼
uth 首
utj 痢
utk 阁
utn 疙
utu 疼
utv 痿
uua 瘥
uub 阙
uuj 阐
uus 痫
uvj 兼
uwa 阀
uwb 疮
uwc 疫
uwe 疹
uwf 瘵
uwg 痊
uwj 疥
uwl 益
uwn 瘊
uwr 疯
uww 痤
uwy 冷
uxb 邶
uxe 背
uxh 弟
uxl 冀
uxt 凝
uxu 辫
uxx 兹
uyh 门
uyl 凛
uym 闹
uyn 阂
uyt 羊
uyu 辩
uyv 阆
uyw 瘁
uyx 痃
vah 姬
vaj 嫫
vam 媾
vaq 暨
var 妪
vat 娆
vbs 婀
vcb 孥
vcc 驽
vce 努
vck 始
vcm 帑
vcn 怒
vcx 弩
vdf 娠
veg 媛
veh 嫂
vep 嫒
vfc 妓
vfk 嬉
vfq 妩
vfs 媒
vft 姥
vfu 嫱
vga 妍
vge 婧
vgh 嫣
vgo 娅
vgv 婕
vgx 姨
vij 剥
vip 逮
vit 妙
vjg 妲
vjj 娼
vjl 媪
vjs 巢
vkb 邵
vkc 邕
vke 娟
vkg 娱
vkm 娲
vkn 恕
vkp 迢
vkx 絮
vlr 邋
vlx 嫘
vne 娓
vng 娜
vnh 媚
vnx 妮
vny 姒
vos 嬷
vpg 嫁
vpj 婶
vpm 帚
vpq 婉
vpr 嫔
vpt 姹
vqg 鸠
vqi 姚
vqk 娩
vqy 妁
vsf 嫖
vsk 嫩
vtd 妖
vtf 妊
vtg 姓
vth 媳
vtk 君
vtl 媲
vtn 姊
vtr 娥
vua 姘
vuj 婵
vur 姣
vus 娴
vut 嫉
vux 娣
vvv 女
vxx 妣
vye 妫
vyl 嬗
vyn 忍
vyp 婷
vyu 嫡
vyv 娘
wad 偌
wah 伢
waj 借
waq 僭
war 伛
wat 侥
waw 供
wba 戗
wbj 创
wcd 颂
wce 俑
wcg 瓮
wcn 翁
wct 俟
wcw 俊
wda 佐
wde 侑
wdf 侉
wdj 佰
wdk 佑
wdn 优
wds 倚
wdt 做
wdu 僚
wdw 傣
web 俘
wek 伽
weq 倪
wfa 偾
wfc 会
wfd 儒
wff 佳
wfh 值
wfi 祭
wfk 舍
wfn 传
wft 佬
wfv 佞
wgc 倒
wgd 癸
wge 愈
wgi 剑
wgj 便
wgk 使
wgl 僵
wgm 债
wgn 兮
wgo 俨
wgq 例
wgs 余
wgu 侠
whd 俳
whh 佧
whj 倬
whm 侦
whn 候
wht 修
whw 俱
wie 俏
wim 倘
wip 傥
wjf 俚
wjg 但
wjh 伸
wjj 倡
wjm 偶
wjq 偈
wjs 倮
wkg 俣
wkh 促
wkk 侣
wks 堡
wlg 偎
wll 儡
wmf 倜
wmg 侗
wmj 侧
wmw 催
wnb 倔
wnd 倨
wng 伺
wnh 假
wnk 僻
wnt 侯
wnx 伲
wny 似
wov 偻
wow 俯
wpe 侬
wpn 倌
wpr 傧
wpw 倥
wpx 佗
wqa 低
wqb 仰
wqd 儋
wqi 您
wqk 像
wqq 侈
wqr 偬
wrb 爷
wrc 爸
wre 飕
wrf 釜
wrh 飓
wro 飚
wrq 爹
wrr 斧
wrt 俾
wsf 傅
wsg 体
wsj 剁
wsk 何
wso 僳
wsq 鸺
wss 傈
wta 伥
wtc 仫
wtd 侨
wte 伤
wtf 任
wtg 件
wtj 俐
wtl 傻
wtr 俄
wtu 佟
wtv 倭
wtx 侮
wuf 伞
wuj 僮
wuk 倍
wul 僧
wur 佼
wvd 颁
wvf 坌
wvg 健
wvl 盆
wvm 贫
wvp 侵
wvt 伊
wvy 仞
wwb 耸
wwe 俎
wwf 坐
wwg 丛
wwj 价
wwk 谷
wwv 份
www 众
wwx 伦
wwy 伶
wxd 倾
wxf 华
wxj 佛
wxm 货
wxx 仳
wyb 隽
wyc 令
wye 依
wyf 储
wyj 侪
wyk 售
wyn 今
wyo 焦
wyp 停
wyr 仪
wys 集
wyu 傍
wyv 食
wyw 伉
wyy 雠
xad 绒
xaf 缂
xan 练
xat 绕
xbm 绌
xca 弪
xcc 缀
xcg 绎
xck 绐
xcn 纾
xdc 绂
xdf 缛
xdg 缄
xdj 弼
xdl 缅
xds 绮
xdt 绑
xdu 缭
xee 绷
xeg 缓
xej 蠡
xep 绶
xev 绥
xfc 纭
xfh 缜
xfk 缬
xfn 续
xfq 鸨
xft 绪
xfw 绫
xgb 纯
xgf 纡
xgj 绠
xgl 缰
xgm 绩
xgo 缙
xhd 绯
xhi 缈
xhj 绰
xid 颍
xie 绡
xim 绱
xjg 缇
xjh 绅
xjl 缦
xjm 费
xjq 艴
xjt 缆
xjx 绲
xkb 缉
xke 绢
xkh 缋
xkj 犟
xkk 缲
xkw 织
xlg 缳
xln 缌
xlx 缧
xmf 绸
xmm 缨
xmr 纲
xmw 纳
xna 缗
xng 弓
xnh 纠
xnw 缪
xoj 缠
xov 缕
xox 粥
xpg 绽
xpn 绾
xpr 缤
xpw 缩
xqa 纸
xqc 绝
xqi 弥
xqj 绚
xqv 绉
xrc 弧
xry 缴
xsf 缥
xsh 缃
xta 张
xtb 绣
xtd 疑
xtf 纤
xtg 缍
xth 缎
xtk 络
xts 绦
xtu 终
xtw 飨
xug 绊
xuj 弹
xul 缯
xur 绞
xuu 缮
xuv 缣
xuw 缢
xux 绨
xvi 绿
xvj 缫
xvl 缁
xvy 纫
xwf 绘
xwg 缏
xwn 缑
xwv 纷
xww 纵
xwx 纶
xwy 维
xxa 畿
xxe 缘
xxf 毕
xxg 丝
xxj 绋
xxn 毖
xxr 皆
xxt 彘
xxx 纰
xyc 统
xym 缟
xyn 编
xyr 缡
xyu 缔
xyx 弦
yaa 诫
yad 诺
yah 讶
yaj 谟
yak 谨
yan 谍
yaq 谮
yar 讴
yaw 诬
yay 谎
ybb 郭
ybc 诹
ybm 诎
ybo 烹
ybq 鹑
ybt 敦
ybv 熟
yca 弃
yce 育
ycg 译
yck 诒
ycn 袤
yct 诶
ydm 斋
ydo 诙
ydw 谌
yee 裒
yeg 诅
yej 蠃
yem 赢
yet 谣
yev 嬴
yew 谀
yff 诗
yfj 讲
yfk 诘
yfm 谳
yfn 读
yfs 谋
yft 诸
yga 斌
yge 请
ygk 语
ygu 评
yha 谑
yhd 诽
yid 鹫
yie 诮
yip 谠
yjh 齑
yjl 谩
yjq 谒
yjs 课
ykg 误
ykh 衷
ykk 襄
ykw 识
yle 谓
ylk 颤
ylw 谡
ymf 调
ymk 高
ymw 讷
ynb 邙
ynd 戾
ynf 讯
ynh 盲
yni 永
ynk 启
ynm 遍
ynn 氓
ynt 刻
ynu 戽
ynw 雇
yny 房
yoa 弈
yob 孪
yoc 变
yod 奕
yoj 蛮
yom 峦
yon 恋
yoo 谈
yop 迹
yoq 銮
yor 挛
yos 栾
yov 娈
yox 弯
ype 毫
ypg 豪
ypk 膏
ypl 诨
yps 亭
ypt 诧
yqa 诋
yqd 诡
yqe 谄
yqk 谗
yqt 诳
yqv 诌
yrb 离
yrg 诟
yrv 亵
yry 诉
ysj 谭
ysk 诃
ysl 谏
ytb 施
ytd 话
yte 旅
ytf 许
ytg 旆
yth 诞
ytm 谢
ytn 讫
ytt 族
ytv 诿
ytx 诲
yty 州
yue 谫
yuj 谙
yuk 说
yum 商
yuo 谱
yup 旁
yuq 谘
yus 谰
yut 谚
yuv 谦
yuw 谥
yvb 郎
yve 朗
yvk 诏
ywc 设
ywd 颃
ywe 诊
ywg 诠
ywk 褒
ywr 讽
ywt 夜
ywu 於
yww 卒
ywx 论
ywy 谁
yxi 紊
yxj 诣
yxl 畜
yxt 雍
yxx 谐
yyb 谆
yyi 谅
yyl 丶
yyr 议
yyu 谤
yyw 谇
yyy 言
aak 戒
abf 茸
abh 邛
abr 艿
ade 戎
adu 茂
aff 苷
aff 芏
agd 匡
agn 匚
agu 芙
ahf 芷
ahf 苜
aiu 汞
ajf 昔
ajj 草
aju 茧
akd 叵
alk 匣
anb 芑
and 巨
anu 芯
anv 世
arj 芹
ark 匠
aru 艾
asf 茜
auj 莘
avb 艽
avu 茛
awi 戍
axb 芎
ayi 弋
bbf 孕
bbh 耶
bby 陂
bhk 屮
biu 尕
blf 孟
bnh 卩
bnh 阝
bnh 凵
bnn 孔
bnt 乃
bsh 耵
bty 孜
byi 孓
byt 防
caj 弁
cdg 牯
cej 甬
cen 牦
cet 劝
cff 圣
cfg 牡
cny 厶
cqb 允
cty 牧
dbf 耷
dbv 厄
ddi 厌
ddu 套
deg 胡
der 夯
det 髟
dfh 矸
dgd 戌
dgt 厂
dhk 丰
diu 泵
dkj 夼
dlf 奋
dlh 砗
dlk 厍
dmu 页
dnv 尢
dou 灰
dqy 矽
drh 斫
dsg 硒
dug 砬
dwi 仄
dwn 矶
dyi 丈
eaj 舁
ebf 孚
eef 舀
eet 肋
eet 肜
efh 肝
efy 肘
egy 肤
ejh 刖
elh 胛
env 甩
eoy 脒
esy 脯
ewi 臾
ewn 肌
faj 卉
fbh 邯
fbh 邗
fcu 去
fcu 云
fff 圭
ffg 坩
fgg 二
fhg 址
fhu 走
fjj 亓
fjk 井
fkh 圳
fmy 坝
fnb 亏
fnn 圯
fnn 圮
fnr 声
fot 圹
fqb 元
frh 圻
fsi 耒
fsy 埔
fug 垃
fvy 垠
fxy 坶
fyu 雯
fyy 坟
gai 戋
gaj 弄
gbg 珥
gby 玻
gef 青
gei 豕
ghd 正
gjk 丌
gkf 吾
gkk 卅
gmu 责
goi 灭
gqi 歹
gqv 兀
gsh 玎
gsj 亍
gty 玫
gwn 玑
gxu 毒
gyy 玟
hcu 攴
hee 虏
hhu 卡
hhy 卜
hjj 卓
hnr 卢
hnu 忐
hoy 眯
hwv 虎
hyi 虔
ian 汇
ibg 洱
ibk 凼
ibn 池
idg 沽
iff 尘
ifg 泔
ifh 汁
igg 汪
ihg 泪
ijf 沓
ijg 汨
ijg 汩
ilg 泗
imh 汕
inn 汜
iqg 淦
iqy 汐
irg 泊
irh 沂
isg 洒
ish 汀
isy 沐
ity 敝
iug 泣
ivg 汝
iyy 汶
jag 虹
jdg 蛄
jen 蚝
jfd 里
jfg 蚶
jfh 旰
jfj 旱
jfy 昧
jgf 旦
jgg 旺
jgy 蚨
jhf 冒
jhh 刂
jhk 申
jlf 蛊
jmg 蚰
jnn 虬
jot 旷
jou 炅
jrg 蚯
jrh 昕
jsg 晒
jsu 杲
jsy 晡
juf 昱
juh 蛘
jvb 旯
jwn 虮
jyy 蚊
kbh 叩
kcb 邑
kcy 叹
kdg 咕
kdy 吠
ket 叻
kfg 吐
kfy 味
